tweet_id,created_at,user_name,screen_name,original_text,cleaned_text,normalized_text,preprocessed_text
2075966720532197479,Sat Jul 11 15:33:30 +0000 2026,Mas Bud 12 🍉 will be free,mas_bud12,"@TxtdariHI Ya gimana gak sulit, pikir aja. Motor yg harusnya pake Pertamax (minimal Ron sekian) karena harganya naik. Jadilah mereka beli pertalite yang harganya tetap.",ya gimana gak sulit pikir aja motor yg harusnya pake pertamax minimal ron sekian karena harganya naik jadilah mereka beli pertalite yang harganya tetap,ya bagaimana enggak sulit pikir saja motor yang harusnya pakai pertamax minimal ron sekian karena harganya naik jadilah mereka beli pertalite yang harganya tetap,bagaimana enggak sulit pikir motor harus pakai pertamax minimal ron sekian harga naik jadi beli pertalite harga tetap
2075965686036459597,Sat Jul 11 15:29:23 +0000 2026,hyung🍉,pacarkimjisoo,"@eotteokkaji Iyah, paling 10an di kota ini, pertalit cuma ada di 2 pom bensin seingetku kalau ga salah dan itupun antri nya kek monyet, mana dibatesin lagi wkwkwk orang sini dah biasapake pertamax, eh naik, kentutttt",iyah paling an di kota ini pertalit cuma ada di pom bensin seingetku kalau ga salah dan itupun antri nya kek monyet mana dibatesin lagi wkwkwk orang sini dah biasapake pertamax eh naik kentutttt,iya paling an di kota ini pertalit cuma ada di pom bensin seingetku kalau enggak salah dan itupun antri nya kayak monyet mana dibatesin lagi wkwkwk orang sini deh biasapake pertamax eh naik kentutttt,iya paling an kota pertalit cuma pom bensin seingetku kalau enggak salah itu antri nya kayak monyet mana dibatesin wkwkwk orang sini biasapake pertamax eh naik kentutttt
2075965385262907667,Sat Jul 11 15:28:12 +0000 2026,A R I S U ありす,arissuhada87,"@TxtdariHI ""Ngapain pusing Pertamax naik 30%, kan tinggal ganti ke Pertalite""

🗿🗿🗿",ngapain pusing pertamax naik kan tinggal ganti ke pertalite,mengapai pusing pertamax naik kan tinggal ganti ke pertalite,kapai pusing pertamax naik kan tinggal ganti pertalite
2075961146654519495,Sat Jul 11 15:11:21 +0000 2026,🐢💨,Kkuuroo___,@cepetlulusss pertalite langka pertamax melambung. naik anjin aja naik anjing 😭😭😭,pertalite langka pertamax melambung naik anjin aja naik anjing,pertalite langka pertamax melambung naik anjin saja naik anjing,pertalite langka pertamax lambung naik anjin naik anjing
2075952355439501756,Sat Jul 11 14:36:25 +0000 2026,anti bansos bansos club,mrEko_84,"@TxtdariHI Wkwkwkw mana yang kmaren blg “ kan harganya ga naik, iya tp barangnya hilang” makan noh pertamax",wkwkwkw mana yang kmaren blg kan harganya ga naik iya tp barangnya hilang makan noh pertamax,wkwkwkw mana yang kemarin bilang kan harganya enggak naik iya tapi barangnya hilang makan noh pertamax,wkwkwkw mana kemarin bilang kan harga enggak naik iya barang hilang makan noh pertamax
2075951519254655135,Sat Jul 11 14:33:06 +0000 2026,Divanio Zanzar Fahrezi,DivanioZanzarF,"udah jelas bgt efek dari pertamax naik orang orang pasti bakal pindah ke pertalite, lebih banyak demand daripada supply nya. tapi presiden kita masi ngomong kalo pertamax cuma buat orang orang kaya🫠",udah jelas bgt efek dari pertamax naik orang orang pasti bakal pindah ke pertalite lebih banyak demand daripada supply nya tapi presiden kita masi ngomong kalo pertamax cuma buat orang orang kaya,sudah jelas banget efek dari pertamax naik orang orang pasti bakal pindah ke pertalite lebih banyak demand daripada supply nya tapi presiden kita masih mengomong kalo pertamax cuma buat orang orang kayak,jelas banget efek pertamax naik orang orang bakal pindah pertalite lebih banyak demand supply nya presiden omong pertamax cuma buat orang orang kayak
2075949463806545990,Sat Jul 11 14:24:56 +0000 2026,unimaginable,hyudilautbiru,@TxtdariHI Efek disparitas harga yg terlalu tinggi dengan pertamax semua beralih minum pertalite,efek disparitas harga yg terlalu tinggi dengan pertamax semua beralih minum pertalite,efek disparitas harga yang terlalu tinggi dengan pertamax semua beralih minum pertalite,efek disparitas harga terlalu tinggi pertamax semua alih minum pertalite
2075942311704633510,Sat Jul 11 13:56:30 +0000 2026,Marno Blewah,MarnoMbois,@TxtdariHI ya yang punya pom pilih keluarin dulu pertamax yang kadung dibeli pas harga naik dulu 🗿,ya yang punya pom pilih keluarin dulu pertamax yang kadung dibeli pas harga naik dulu,ya yang punya pom pilih keluarkan dulu pertamax yang kadung dibeli pas harga naik dulu,punya pom pilih keluar dulu pertamax kadung beli pas harga naik dulu
2075941161769050138,Sat Jul 11 13:51:56 +0000 2026,rifki,maulanarifki,@TxtdariHI Sekarang soalnya orang ramai2 pake pertalite. Harga jauh banget sm pertamax. Yg motor2 biasa pertamax skrg pertalite dulu survival mode.,sekarang soalnya orang ramai pake pertalite harga jauh banget sm pertamax yg motor biasa pertamax skrg pertalite dulu survival mode,sekarang soalnya orang ramai pakai pertalite harga jauh banget sama pertamax yang motor biasa pertamax sekarang pertalite dulu survival mode,sekarang soal orang ramai pakai pertalite harga jauh banget sama pertamax motor biasa pertamax sekarang pertalite dulu survival mode
2075938815706095872,Sat Jul 11 13:42:37 +0000 2026,Eng,ttidaksukapedas,"@plisitin Iloveyou=3000
Pertamax=16250",iloveyou pertamax,iloveyou pertamax,iloveyou pertamax
2075934184372338781,Sat Jul 11 13:24:13 +0000 2026,G•,gladlyhs,Harga pertamax naik bikin hemat males kemana mana skrg -_-,harga pertamax naik bikin hemat males kemana mana skrg,harga pertamax naik bikin hemat malas kemana mana sekarang,harga pertamax naik bikin hemat malas mana sekarang
